Event;Key;Time
Key Down;Tab;834629
Key Up;Tab;835924
Key Down;Left Alt;837963
Key Up;Left Alt;838216
Key Down;Left Alt;838953
Key Up;Left Alt;839294
Key Down;A;845766
Key Up;A;845874
Key Down;A;845921
Key Up;A;846048
Key Down;A;847679
Key Up;A;847795
Key Down;A;847851
Key Up;A;847972
Key Down;A;851774
Key Up;A;851883
Key Down;A;851935
Key Up;A;852059
Key Down;Espace;861251
Key Up;Espace;861413
Key Down;Tab;863727
Key Up;Tab;864718
Key Down;A;871759
Key Up;A;871888
Key Down;A;871958
Key Up;A;872074
Key Down;A;878702
Key Up;A;878812
Key Down;A;878854
Key Up;A;878987
Key Down;Left Alt;896814
Key Down;Tab;896886
Key Up;Left Alt;896965
Key Up;Tab;896990
